what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1312404463350
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1312404463350
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1312404463351
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1312404463351
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1312404463352
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312404463353
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312404463354
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312404463355
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312404463355
started,bundle,eu.openanalytics.architect.branding,1.0.0.qualifier,"eu.openanalytics.architect.branding",1312404463356
os,sysinfo,,,"win32",1312404463358
arch,sysinfo,,,"x86",1312404463358
ws,sysinfo,,,"win32",1312404463358
locale,sysinfo,,,"nl_BE",1312404463358
processors,sysinfo,,,"4",1312404463359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312404463359
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1312404463359
java.specification.name,sysinfo,,,"Java Platform API Specification",1312404463359
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312404463359
java.specification.version,sysinfo,,,"1.6",1312404463359
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312404463359
java.version,sysinfo,,,"1.6.0_18",1312404463359
java.vm.info,sysinfo,,,"mixed mode",1312404463359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312404463359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312404463359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312404463359
java.vm.specification.version,sysinfo,,,"1.0",1312404463359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312404463359
java.vm.version,sysinfo,,,"16.0-b13",1312404463359
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1312404464245
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1312404464274
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1312404464638
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1312404464653
started,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312404470589
started,bundle,de.walware.statet.base.ui,0.10.0.b201106190930E37sw,"de.walware.statet.base.ui",1312404470614
started,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312404470621
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1312404470734
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1312404470740
started,bundle,de.walware.thirdparty-org.apache.lucene,3.1.0.b201106190930E37sw,"de.walware.thirdparty-org.apache.lucene",1312404471673
started,bundle,de.walware.statet.base.core,0.10.0.b201106190930E37sw,"de.walware.statet.base.core",1312404472784
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312404473014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312404473102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312404480198
error,log,,,"Communication error detail. Send:\nMainCmdC2SList ():\n<ITEM i=""0"">\nConsoleCmdItem (type=CONSOLE_READ, options=0x90000000)\n<TEXT>\nn\n\n</TEXT>\n</ITEM>",1312404488136
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312404491971
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312404492049
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312404492054
stopped,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312404492495
stopped,bundle,de.walware.statet.r.launching.winrgui,0.10.0.b201106190930E37sw,"de.walware.statet.r.launching.winrgui",1312404492496
stopped,bundle,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.ui",1312404492497
stopped,bundle,de.walware.statet.nico.ui,0.10.0.b201106190930E37sw,"de.walware.statet.nico.ui",1312404492497
stopped,bundle,de.walware.statet.base.ui,0.10.0.b201106190930E37sw,"de.walware.statet.base.ui",1312404492498
stopped,bundle,de.walware.ecommons.ltk.ui,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.ui",1312404492498
stopped,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312404492498
stopped,bundle,de.walware.statet.nico.core,0.10.0.b201106190930E37sw,"de.walware.statet.nico.core",1312404492498
stopped,bundle,de.walware.statet.r.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.core",1312404492602
stopped,bundle,de.walware.statet.base.core,0.10.0.b201106190930E37sw,"de.walware.statet.base.core",1312404492602
stopped,bundle,de.walware.ecommons.ltk.core,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.core",1312404492603
stopped,bundle,de.walware.ecommons.uimisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.uimisc",1312404492603
stopped,bundle,de.walware.ecommons.coremisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.coremisc",1312404492603
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1312404492604
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1312404492604
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1312404492605
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1312404492605
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1312404492606
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1312404492607
