what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1312402566494
java.specification.name,sysinfo,,,"Java Platform API Specification",1312402566494
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312402566494
java.specification.version,sysinfo,,,"1.6",1312402566494
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312402566494
java.version,sysinfo,,,"1.6.0_18",1312402566494
java.vm.info,sysinfo,,,"mixed mode",1312402566494
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312402566494
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312402566494
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312402566494
java.vm.specification.version,sysinfo,,,"1.0",1312402566494
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312402566494
java.vm.version,sysinfo,,,"16.0-b13",1312402566494
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312402566893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402570169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402598880
activated,editor,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.editors.R",1312402610037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312402610078
closed,editor,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.editors.R",1312402610079
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312402616407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402623621
started,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312402624876
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1312402624883
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1312402624919
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1312402624972
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1312402625043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402626913
started,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312402626970
started,bundle,de.walware.thirdparty-org.apache.lucene,3.1.0.b201106190930E37sw,"de.walware.thirdparty-org.apache.lucene",1312402629687
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312402630486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402630629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402632215
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312402635910
opened,editor,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.editors.R",1312402643597
activated,editor,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.editors.R",1312402643637
executed,command,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.commands.RunSelectionInR",1312402647689
executed,command,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.commands.RunSelectionInR",1312402652628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312402654971
closed,editor,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.editors.R",1312402654971
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312402655576
error,log,,,"Communication error detail. Send:\nMainCmdC2SList ():\n<ITEM i=""0"">\nConsoleCmdItem (type=CONSOLE_READ, options=0x90000000)\n<TEXT>\nn\n\n</TEXT>\n</ITEM>",1312402657896
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312402660589
activated,view,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.views.RHelp",1312402674639
