what,kind,bundleId,bundleVersion,description,time
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312402042134
stopped,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312402042301
stopped,bundle,de.walware.statet.r.launching.winrgui,0.10.0.b201106190930E37sw,"de.walware.statet.r.launching.winrgui",1312402042302
stopped,bundle,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.ui",1312402042303
stopped,bundle,de.walware.statet.nico.ui,0.10.0.b201106190930E37sw,"de.walware.statet.nico.ui",1312402042303
stopped,bundle,de.walware.statet.base.ui,0.10.0.b201106190930E37sw,"de.walware.statet.base.ui",1312402042303
stopped,bundle,de.walware.ecommons.ltk.ui,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.ui",1312402042304
stopped,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312402042304
stopped,bundle,de.walware.statet.nico.core,0.10.0.b201106190930E37sw,"de.walware.statet.nico.core",1312402042304
stopped,bundle,de.walware.statet.r.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.core",1312402042411
stopped,bundle,de.walware.statet.base.core,0.10.0.b201106190930E37sw,"de.walware.statet.base.core",1312402042411
stopped,bundle,de.walware.ecommons.ltk.core,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.core",1312402042417
stopped,bundle,de.walware.ecommons.uimisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.uimisc",1312402042417
stopped,bundle,de.walware.ecommons.coremisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.coremisc",1312402042417
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1312402042418
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1312402042419
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1312402042420
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1312402042420
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1312402042422
