what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090373
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090374
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090376
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090377
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090378
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090412
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090413
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090414
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401090415
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401091925
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401091926
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401091927
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401091928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092405
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092406
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092407
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092409
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092411
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092412
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092413
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092415
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092416
error,log,,,"Communication error detail. Send:\nMainCmdC2SList ():\n<ITEM i=""0"">\nConsoleCmdItem (type=CONSOLE_READ, options=0x90000000)\n<TEXT>\nn\n\n</TEXT>\n</ITEM>",1312401092418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092419
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1312401092420
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312401101729
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312401101801
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312401101805
stopped,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312401102258
stopped,bundle,de.walware.statet.r.launching.winrgui,0.10.0.b201106190930E37sw,"de.walware.statet.r.launching.winrgui",1312401102258
stopped,bundle,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.ui",1312401102260
stopped,bundle,de.walware.statet.nico.ui,0.10.0.b201106190930E37sw,"de.walware.statet.nico.ui",1312401102260
stopped,bundle,de.walware.statet.base.ui,0.10.0.b201106190930E37sw,"de.walware.statet.base.ui",1312401102260
stopped,bundle,de.walware.ecommons.ltk.ui,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.ui",1312401102260
stopped,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312401102260
stopped,bundle,de.walware.statet.nico.core,0.10.0.b201106190930E37sw,"de.walware.statet.nico.core",1312401102261
stopped,bundle,de.walware.statet.r.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.core",1312401102370
stopped,bundle,de.walware.statet.base.core,0.10.0.b201106190930E37sw,"de.walware.statet.base.core",1312401102375
stopped,bundle,de.walware.ecommons.ltk.core,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.core",1312401102382
stopped,bundle,de.walware.ecommons.uimisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.uimisc",1312401102383
stopped,bundle,de.walware.ecommons.coremisc,0.10.0.b201106190930E37sw,"de.walware.ecommons.coremisc",1312401102383
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1312401102383
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1312401102383
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1312401102383
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1312401102383
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1312401102383
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1312401102383
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1312401102383
stopped,bundle,org.eclipse.rap.ui.launch,1.4.0.20110614-2335,"org.eclipse.rap.ui.launch",1312401102383
stopped,bundle,org.eclipse.rap.ui.templates,1.4.0.20110614-2335,"org.eclipse.rap.ui.templates",1312401102383
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1312401102383
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1312401102383
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1312401102384
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1312401102384
stopped,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1312401102385
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1312401102385
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1312401102385
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1312401102386
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1312401102386
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1312401102386
stopped,bundle,org.eclipse.rap.ui.launch.rwt,1.4.0.20110614-2335,"org.eclipse.rap.ui.launch.rwt",1312401102386
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1312401102386
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1312401102400
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1312401102400
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1312401102400
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1312401102400
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1312401102400
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1312401102400
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1312401102406
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1312401102406
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1312401102406
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1312401102406
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1312401102406
